Crystal Palace v West Bromwich Albion, 0, 14 (4), 1, 13 (3)
Tottenham Hotspur v Crystal Palace, 1, 20 (5), 0, 10 (2)
Crystal Palace v AFC Bournemouth, 1, 24 (5), 1, 10 (3)
Middlesbrough v Crystal Palace, 1, 12 (4), 2, 12 (4)
Crystal Palace v Stoke City, 4, 14 (8), 1, 11 (4)
Sunderland v Crystal Palace, 2, 11 (4), 3, 21 (4)
Everton v Crystal Palace, 1, 13 (3), 1, 10 (2)
Crystal Palace v West Ham United, 0, 12 (3), 1, 12 (4)
Leicester City v Crystal Palace, 3, 16 (4), 1, 23 (7)
Crystal Palace v Liverpool, 2, 7 (6), 4, 17 (10)
Burnley v Crystal Palace, 3, 14 (7), 2, 16 (5)
Crystal Palace v Manchester City, 1, 8 (2), 2, 10 (4)
Swansea City v Crystal Palace, 5, 18 (9), 4, 12 (4)
Crystal Palace v Southampton, 3, 9 (4), 0, 17 (3)
Hull City v Crystal Palace, 3, 15 (6), 3, 15 (6)
Crystal Palace v Manchester United, 1, 6 (3), 2, 16 (6)
Crystal Palace v Chelsea, 0, 6 (2), 1, 13 (6)
Watford v Crystal Palace, 1, 9 (3), 1, 10 (4)
Arsenal v Crystal Palace, 2, 22 (7), 0, 7 (4)
Crystal Palace v Swansea City, 1, 7 (3), 2, 11 (4)
West Ham United v Crystal Palace, 3, 14 (3), 0, 10 (1)
Crystal Palace v Everton, 0, 8 (2), 1, 17 (8)
AFC Bournemouth v Crystal Palace, 0, 10 (2), 2, 11 (4)
Crystal Palace v Sunderland, 0, 21 (9), 4, 10 (7)
Stoke City v Crystal Palace, 1, 7 (4), 0, 6 (1)
Crystal Palace v Middlesbrough, 1, 15 (3), 0, 11 (4)
West Bromwich Albion v Crystal Palace, 0, 11 (1), 2, 10 (4)
Crystal Palace v Watford, 1, 7 (0), 0, 6 (2)
Chelsea v Crystal Palace, 1, 24 (11), 2, 8 (3)
Southampton v Crystal Palace, 3, 25 (9), 1, 17 (3)
Crystal Palace v Arsenal, 3, 17 (6), 0, 11 (3)
Crystal Palace v Leicester City, 2, 15 (4), 2, 6 (2)
Liverpool v Crystal Palace, 1, 14 (1), 2, 7 (3)
Crystal Palace v Tottenham Hotspur, 0, 6 (1), 1, 18 (4)
Crystal Palace v Burnley, 0, 15 (5), 2, 9 (3)
Manchester City v Crystal Palace, 5, 26 (12), 0, 5 (2)
Crystal Palace v Hull City, 4, 12 (4), 0, 9 (0)
Manchester United v Crystal Palace, 2, 9 (2), 0, 6 (1)
