Middlesbrough v Stoke City, 1, 12 (2), 1, 12 (1)
Sunderland v Middlesbrough, 1, 18 (5), 2, 8 (3)
West Bromwich Albion v Middlesbrough, 0, 13 (2), 0, 7 (2)
Middlesbrough v Crystal Palace, 1, 12 (4), 2, 12 (4)
Everton v Middlesbrough, 3, 11 (6), 1, 7 (0)
Middlesbrough v Tottenham Hotspur, 1, 6 (2), 2, 19 (5)
West Ham United v Middlesbrough, 1, 19 (2), 1, 9 (3)
Middlesbrough v Watford, 0, 10 (3), 1, 4 (2)
Arsenal v Middlesbrough, 0, 10 (6), 0, 11 (4)
Middlesbrough v AFC Bournemouth, 2, 11 (3), 0, 18 (3)
Manchester City v Middlesbrough, 1, 25 (7), 1, 5 (3)
Middlesbrough v Chelsea, 0, 12 (1), 1, 13 (3)
Leicester City v Middlesbrough, 2, 11 (3), 2, 6 (2)
Middlesbrough v Hull City, 1, 16 (4), 0, 6 (2)
Southampton v Middlesbrough, 1, 14 (3), 0, 6 (2)
Middlesbrough v Liverpool, 0, 8 (3), 3, 15 (4)
Middlesbrough v Swansea City, 3, 10 (4), 0, 14 (2)
Burnley v Middlesbrough, 1, 6 (4), 0, 8 (2)
Manchester United v Middlesbrough, 2, 32 (12), 1, 9 (2)
Middlesbrough v Leicester City, 0, 9 (1), 0, 10 (4)
Watford v Middlesbrough, 0, 12 (5), 0, 5 (1)
Middlesbrough v West Ham United, 1, 11 (2), 3, 13 (5)
Middlesbrough v West Bromwich Albion, 1, 11 (3), 1, 15 (5)
Tottenham Hotspur v Middlesbrough, 1, 17 (5), 0, 8 (0)
Middlesbrough v Everton, 0, 9 (3), 0, 7 (3)
Crystal Palace v Middlesbrough, 1, 15 (3), 0, 11 (4)
Stoke City v Middlesbrough, 2, 13 (8), 0, 8 (2)
Middlesbrough v Manchester United, 1, 10 (3), 3, 14 (6)
Swansea City v Middlesbrough, 0, 15 (3), 0, 8 (1)
Hull City v Middlesbrough, 4, 17 (5), 2, 12 (4)
Middlesbrough v Burnley, 0, 13 (5), 0, 7 (2)
Middlesbrough v Arsenal, 1, 13 (5), 2, 12 (4)
AFC Bournemouth v Middlesbrough, 4, 21 (10), 0, 5 (2)
Middlesbrough v Sunderland, 1, 6 (2), 0, 10 (4)
Middlesbrough v Manchester City, 2, 14 (6), 2, 22 (4)
Chelsea v Middlesbrough, 3, 21 (7), 0, 2 (1)
Middlesbrough v Southampton, 1, 14 (3), 2, 14 (4)
Liverpool v Middlesbrough, 3, 25 (10), 0, 9 (3)
